Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Old_Dialogue_ID,Old_Utterance_ID,Season,Episode,StartTime,EndTime,Speaker_ID,Listener_ID,Relationship_ID,Has_Entities,Entities,Has_Dialogue_Acts,Dialogue_Acts,Dialogue_Act_Dimension,Dialogue_Act_Comm_Func
also I was the point person on my companys transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,0,0,8,21,"00:16:16,059","00:16:21,731",29,235,0,True,"[('KL-5', 'GPE')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
You mustve had your hands full.,The Interviewer,neutral,neutral,0,1,0,1,8,21,"00:16:21,940","00:16:23,442",235,29,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
That I did. That I did.,Chandler,neutral,neutral,0,2,0,2,8,21,"00:16:23,442","00:16:26,389",29,235,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
So lets talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,0,3,8,21,"00:16:26,820","00:16:29,572",235,29,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Directive'}]",Task,Directive
My duties?  All right.,Chandler,surprise,positive,0,4,0,4,8,21,"00:16:34,452","00:16:40,917",29,235,0,False,[],False,[],,
"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,neutral,0,5,0,5,8,21,"00:16:41,126","00:16:44,337",235,29,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
I see.,Chandler,neutral,neutral,0,6,0,6,8,21,"00:16:48,800","00:16:51,886",29,235,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,0,7,8,21,"00:16:48,800","00:16:54,514",235,29,0,True,"[('30', 'CARDINAL')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Good to know.,Chandler,neutral,neutral,0,8,0,8,8,21,"00:16:59,477","00:17:00,478",29,235,0,False,[],True,"[{'dimension': 'Feedback', 'communicative_function': 'Feedback'}]",Feedback,Feedback
We can go into detail,The Interviewer,neutral,neutral,0,9,0,9,8,21,"00:17:00,478","00:17:02,719",235,29,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
No dont I beg of you!,Chandler,fear,negative,0,10,0,10,8,21,"00:17:02,856","00:17:04,858",29,235,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,neutral,0,11,0,11,8,21,"00:17:05,025","00:17:13,324",235,29,0,True,"[('we\x92ll', 'ORG'), ('Monday', 'DATE')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Really?!,Chandler,surprise,positive,0,12,0,12,8,21,"00:17:13,491","00:17:16,536",29,235,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,0,13,8,21,"00:17:17,579","00:17:20,707",235,29,0,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,1,0,9,23,"00:36:40,364","00:36:42,824",108,185,1,True,"[('last month', 'DATE')]",True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
You know? Forget it!,Rachel,sadness,negative,1,1,1,1,9,23,"00:36:44,368","00:36:46,578",185,108,1,False,[],True,"[{'dimension': 'Task', 'communicative_function': 'Statement'}]",Task,Statement
